px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.31869	-8.55373	-2.91975	-2.36512	-0.994941	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0554128
5.43207	-8.44784	-2.93826	-2.41641	-0.995927	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.04166
5.51806	-8.33845	-2.90351	-2.42982	-0.934776	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.35745
5.61755	-8.24413	-2.86021	-2.47293	-0.928228	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.36081
5.69044	-8.1268	-2.81393	-2.4635	-0.839283	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.77028
5.82595	-8.0146	-2.85763	-2.50782	-0.836429	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.241605
5.91726	-7.90472	-2.81755	-2.5081	-0.767034	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.01363
6.0521	-7.79766	-2.85355	-2.54564	-0.761867	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.226644
6.13787	-7.68965	-2.78689	-2.53402	-0.679499	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.35012
6.2668	-7.59163	-2.8054	-2.56617	-0.674269	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.135229
6.36242	-7.49149	-2.74556	-2.56071	-0.607567	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.0389
6.484	-7.40267	-2.74615	-2.58855	-0.602518	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.133447
6.59899	-7.32	-2.75634	-2.61222	-0.596685	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.746539
6.73301	-7.22647	-2.80822	-2.63357	-0.587677	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.41681
6.78778	-7.11271	-2.62911	-2.57715	-0.449817	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	14.0247
6.90594	-7.01926	-2.64045	-2.59186	-0.440398	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.375014
7.03587	-6.94349	-2.65314	-2.61791	-0.443257	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0454976
7.16881	-6.84455	-2.69224	-2.62953	-0.430667	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.503028
7.24652	-6.74491	-2.5577	-2.59052	-0.33213	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	7.65053
7.37092	-6.64685	-2.59155	-2.59623	-0.319841	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.436886
7.52692	-6.59698	-2.70978	-2.66083	-0.397414	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.40879
7.65349	-6.51837	-2.73731	-2.67289	-0.389592	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.173037
7.7669	-6.44065	-2.68396	-2.67305	-0.358433	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.921299
7.89026	-6.37394	-2.67101	-2.69014	-0.35639	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0917522
8.00904	-6.30409	-2.62756	-2.69428	-0.332433	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.542822
8.14469	-6.21932	-2.65843	-2.70027	-0.320191	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.316881
