px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
137.592	16.1929	3.21526	0.533639	0.217151	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.349504
140.323	17.015	3.18031	0.21327	-0.134245	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.514155
140.325	17.0118	3.07195	0.215355	-0.126256	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0806106
142.887	17.9869	3.22478	0.374143	0.0558367	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.121435
142.839	17.9817	3.09751	0.383336	0.0681181	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.521041
145.386	19.1603	3.43303	0.415774	0.0446816	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0693337
145.457	19.171	3.28656	0.434267	0.100727	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.79976
148.24	20.4735	3.80618	0.40548	0.0170754	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.196224
148.209	20.4698	3.27415	0.484694	0.167379	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.721137
150.68	22.1118	3.6243	0.622849	0.147726	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0722874
150.664	22.1096	3.56922	0.635682	0.168673	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0560714
153.416	23.4954	3.46693	0.402687	-0.0861639	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.304807
153.393	23.4849	3.18819	0.45965	0.00304289	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.273362
156.039	24.8067	3.57355	0.410769	-0.030526	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0957237
156.02	24.8051	3.06724	0.464783	0.0800915	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.547503
158.888	26.028	3.90145	0.318381	-0.0663945	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.515809
158.892	26.0255	3.41076	0.349833	0.0125045	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.870089
161.413	27.4234	3.43825	0.527205	0.117043	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0373053
161.439	27.4315	3.17118	0.559955	0.185945	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.461295
163.624	28.7717	3.02699	0.541032	0.055634	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0661116
163.734	28.7903	3.15214	0.527853	0.055597	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.00288
166.805	30.2011	4.28618	0.311117	-0.120362	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.90045
166.727	30.1762	3.37205	0.393514	0.0389205	166.748	29.7121	166.809	30.0721	2.63006	1.22694	2.48573
169.101	31.3723	3.19777	0.470714	0.063573	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.024294
169.12	31.376	3.09	0.476893	0.081901	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.171664
172.155	32.3392	3.9629	0.154842	-0.177925	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.767826
172.133	32.3201	3.22719	0.114777	-0.222674	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.31227
174.646	33.4528	3.1095	0.497945	0.162501	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.508792
174.627	33.4518	2.92922	0.517455	0.189701	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.0950946
177.024	34.2073	2.89972	0.239236	-0.112717	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.336882
177.036	34.2046	2.71504	0.225839	-0.117424	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.23987
180.126	35.1359	3.86017	0.308946	0.00941324	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.947063
180.007	35.1195	2.86757	0.368042	0.0935054	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.28938
182.591	35.7556	3.21202	0.1571	-0.0993185	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.214817
182.497	35.7344	2.67915	0.144512	-0.114187	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.9576
184.731	36.5082	2.79433	0.401712	0.12089	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.192315
184.729	36.5114	2.45774	0.434954	0.164812	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.161033
186.936	36.9474	2.6844	0.0857304	-0.160671	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.414325
186.998	36.9561	2.61411	0.0491182	-0.193438	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.15439
189.458	37.398	3.00383	0.227563	0.0413929	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.287642
189.479	37.4065	2.46933	0.276553	0.0820435	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.783654
191.729	37.5693	2.67733	-0.0189954	-0.15588	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.2176
191.698	37.5589	2.35414	-0.0457986	-0.193973	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.281519
193.474	37.2781	2.16652	-0.205245	-0.172831	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.020615
193.498	37.2833	2.2594	-0.194943	-0.155408	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.11248
195.968	37.3899	3.20512	0.236337	0.210234	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.09225
195.826	37.3971	2.28677	0.293048	0.285953	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.96136
197.721	37.7355	2.33733	0.212901	0.0596341	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.170844
197.673	37.7249	2.04328	0.200256	0.0523751	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.506539
199.295	37.3016	1.81171	-0.391162	-0.346426	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.570721
199.311	37.3082	1.94401	-0.365774	-0.310637	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0701402
201.522	36.988	2.92203	0.00235216	0.116276	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	1.38262
201.354	36.9917	2.10773	-0.113515	-0.0650976	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	4.64512
202.964	36.4599	2.07486	-0.330648	-0.157329	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0302701
202.915	36.4465	1.74221	-0.397057	-0.269798	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.512321
203.993	36.1843	1.18477	-0.248134	-0.0183909	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.34304
204.002	36.1671	1.49654	-0.19068	0.0813633	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.940031
